country_of_citizenship,class_of_admission,employer_state,us_economic_sector,case_status,foreign_worker_info_education,foreign_worker_info_major,case_received_date,decision_date,processing_days,application_year,application_month,application_quarter,application_dayofweek
INDIA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE,2014-03-26,2015-07-10,471,2014,3,1,2
INDIA,H-1B,NEW YORK,UNKNOWN,CERTIFIED,BACHELOR'S,COMPUTER ENGINEERING,2014-04-21,2015-07-30,465,2014,4,2,0
INDIA,H-1B,NEW JERSEY,UNKNOWN,CERTIFIED,MASTER'S,SOFTWARE ENGINEERING,2014-05-02,2015-08-19,474,2014,5,2,4
INDIA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,ELECTRICAL AND COMPUTER ENGINEERING,2014-03-27,2015-07-13,473,2014,3,1,3
INDIA,H-1B,WASHINGTON,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE,2014-06-06,2015-08-31,451,2014,6,2,4
CHINA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,INFORMATION TECHNOLOGY-VERY LARGE INF. SYSTEMS,2014-05-05,2015-08-18,470,2014,5,2,0
INDIA,H-1B,NEW HAMPSHIRE,UNKNOWN,DENIED,BACHELOR'S,COMPUTER SCIENCE,2014-04-11,2014-12-09,242,2014,4,2,4
INDIA,H-1B,COLORADO,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER INFORMATION SYSTEMS,2015-01-07,2015-07-30,204,2015,1,1,2
CHINA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,BACHELOR'S,COMPUTER SCIENCE,2014-04-16,2015-07-24,464,2014,4,2,2
PHILIPPINES,H-1B,MARYLAND,UNKNOWN,CERTIFIED,BACHELOR'S,NURSING,2014-04-29,2015-08-03,461,2014,4,2,1
CHINA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,INFORMATION TECHNOLOGY,2014-05-15,2015-08-13,455,2014,5,2,3
INDIA,H-1B,TEXAS,UNKNOWN,CERTIFIED,OTHER,BUSINESS ADMINISTRATION,2014-03-21,2015-07-14,480,2014,3,1,4
INDIA,H-1B,MASSACHUSETTS,UNKNOWN,CERTIFIED,BACHELOR'S,ENGINEERING,2014-04-28,2015-08-11,470,2014,4,2,0
MEXICO,H-1B,TEXAS,UNKNOWN,DENIED,MASTER'S,BUSINESS ADMINISTRATION,2014-04-09,2015-08-14,492,2014,4,2,2
SOUTH KOREA,UNKNOWN,MISSISSIPPI,UNKNOWN,DENIED,UNKNOWN,UNKNOWN,2014-03-28,2015-07-22,481,2014,3,1,4
EGYPT,H-1B,ALABAMA,UNKNOWN,CERTIFIED,MASTER'S,SPORT AND FITNESS MANAGEMENT,2014-05-07,2015-08-18,468,2014,5,2,2
SOUTH KOREA,F-1,ILLINOIS,UNKNOWN,CERTIFIED,MASTER'S,DIVINITY,2014-01-29,2015-06-29,516,2014,1,1,2
INDIA,H-1B,GEORGIA,UNKNOWN,CERTIFIED,MASTER'S,ELECTRICAL ENGINEERING,2014-04-22,2015-07-30,464,2014,4,2,1
MEXICO,H-1B,WASHINGTON,UNKNOWN,CERTIFIED,DOCTORATE,COMPUTER SCIENCE,2014-06-11,2015-09-02,448,2014,6,2,2
CHINA,B-2,PENNSYLVANIA,UNKNOWN,CERTIFIED,HIGH SCHOOL,CHEF/COOKING,2014-04-03,2015-08-04,488,2014,4,2,3
INDIA,H-1B,NEW JERSEY,UNKNOWN,DENIED,MASTER'S,ENGINEERING,2014-04-10,2015-08-03,480,2014,4,2,3
INDIA,J-1,ALABAMA,UNKNOWN,CERTIFIED,MASTER'S,FOOD AND NUTRITION,2014-04-29,2015-08-24,482,2014,4,2,1
PHILIPPINES,H-1B,MARYLAND,UNKNOWN,CERTIFIED,MASTER'S,SPECIAL EDUCATION (3/2006 GRADUATION),2014-04-29,2015-07-29,456,2014,4,2,1
PHILIPPINES,H-1B,MARYLAND,UNKNOWN,CERTIFIED,BACHELOR'S,ELEMENTARY EDUCATION,2014-04-30,2015-07-29,455,2014,4,2,2
PAKISTAN,H-1B,MASSACHUSETTS,UNKNOWN,CERTIFIED,MASTER'S,EXECUTIVE PUBLIC POLICY AND ADMINISTRATION,2014-06-06,2015-09-03,454,2014,6,2,4
INDIA,H-4,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,ENGINEERING,2014-01-24,2015-07-10,532,2014,1,1,4
SOUTH KOREA,F-1,TENNESSEE,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2014-01-30,2015-06-11,497,2014,1,1,3
INDIA,H-1B,MICHIGAN,UNKNOWN,CERTIFIED,MASTER'S,CIS,2014-02-10,2015-08-24,560,2014,2,1,0
CHINA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,BUILDING SCIENCE,2014-02-19,2015-07-10,506,2014,2,1,2
INDIA,H-1B,MINNESOTA,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE,2014-04-30,2015-08-07,464,2014,4,2,2
PHILIPPINES,H-1B,MARYLAND,UNKNOWN,CERTIFIED,MASTER'S,CHEMISTRY,2014-04-28,2015-08-10,469,2014,4,2,0
INDIA,H-1B,PENNSYLVANIA,UNKNOWN,DENIED,MASTER'S,COMPUTER SCIENCE,2014-05-30,2015-08-20,447,2014,5,2,4
INDIA,H-1B,MICHIGAN,UNKNOWN,CERTIFIED,ASSOCIATE'S,BUSINESS ADMINISTRATION,2014-06-05,2015-09-16,468,2014,6,2,3
INDIA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE,2014-04-21,2015-07-24,459,2014,4,2,0
MONGOLIA,UNKNOWN,MARYLAND,UNKNOWN,CERTIFIED,MASTER'S,BUSINESS ADMINISTRATION,2014-04-04,2015-08-07,490,2014,4,2,4
SOUTH KOREA,UNKNOWN,SOUTH CAROLINA,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2014-01-22,2015-06-24,518,2014,1,1,2
INDIA,F-1,NEW YORK,UNKNOWN,CERTIFIED,MASTER'S,SOFTWARE ENGINEERING,2014-07-31,2015-09-22,418,2014,7,3,3
INDIA,H-1B,PENNSYLVANIA,UNKNOWN,CERTIFIED,MASTER'S,INDUSTRIAL AND SYSTEMS ENGINEERING,2014-05-18,2015-08-12,451,2014,5,2,6
INDIA,H-1B,LOUISIANA,UNKNOWN,CERTIFIED,MASTER'S,CHEMISTRY,2014-06-11,2015-09-09,455,2014,6,2,2
INDIA,H-1B,OREGON,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE,2014-12-08,2015-06-09,183,2014,12,4,0
INDIA,H-1B,NEW YORK,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER ENGINEERING,2014-04-21,2015-08-05,471,2014,4,2,0
INDIA,F-1,NEW JERSEY,UNKNOWN,CERTIFIED,ASSOCIATE'S,SCIENCE,2014-04-07,2015-08-07,487,2014,4,2,0
INDIA,H-1B,TEXAS,UNKNOWN,CERTIFIED,BACHELOR'S,TOURISM AND BUSINESS ADMINISTRATION,2014-02-28,2015-07-10,497,2014,2,1,4
CANADA,TN,CALIFORNIA,UNKNOWN,CERTIFIED,BACHELOR'S,COMPUTER SCIENCE,2014-02-28,2015-07-06,493,2014,2,1,4
SOUTH KOREA,E-2,TEXAS,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2014-04-03,2015-07-30,483,2014,4,2,3
CHINA,UNKNOWN,ALABAMA,UNKNOWN,CERTIFIED,BACHELOR'S,CLINICAL MEDICINE,2014-01-21,2015-06-15,510,2014,1,1,1
INDIA,F-1,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE,2014-03-27,2015-07-17,477,2014,3,1,3
INDIA,H-1B,CALIFORNIA,UNKNOWN,DENIED,MASTER'S,COMPUTER SCIENCE,2014-04-03,2015-06-03,426,2014,4,2,3
NEPAL,H-1B,MARYLAND,UNKNOWN,CERTIFIED,MASTER'S,BUSINESS ADMINISTRATION/MAJOR IN FINANCE,2014-06-05,2015-09-15,467,2014,6,2,3
CHINA,UNKNOWN,ALABAMA,UNKNOWN,CERTIFIED,ASSOCIATE'S,BUSINESS ENGLISH,2014-01-21,2015-06-12,507,2014,1,1,1
TURKEY,H-1B,NEW YORK,UNKNOWN,CERTIFIED,MASTER'S,BUSINESS ADMINISTRATION,2014-02-18,2015-07-08,505,2014,2,1,1
SOUTH KOREA,UNKNOWN,SOUTH CAROLINA,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2014-01-22,2015-06-15,509,2014,1,1,2
MEXICO,UNKNOWN,COLORADO,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2014-01-29,2015-07-06,523,2014,1,1,2
INDIA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,ELECTRICAL AND COMPUTER ENGINEERING,2014-03-07,2015-07-17,497,2014,3,1,4
MEXICO,EWI,NEW JERSEY,UNKNOWN,DENIED,UNKNOWN,UNKNOWN,2014-04-01,2014-10-16,198,2014,4,2,1
MOROCCO,H-1B,MASSACHUSETTS,UNKNOWN,CERTIFIED,MASTER'S,BUSINESS ADMINISTRATION,2014-05-27,2015-08-13,443,2014,5,2,1
SOUTH KOREA,UNKNOWN,ALABAMA,UNKNOWN,CERTIFIED,MASTER'S,LAW,2014-01-09,2015-06-22,529,2014,1,1,3
MONGOLIA,UNKNOWN,DISTRICT OF COLUMBIA,UNKNOWN,DENIED,MASTER'S,BUSINESS ADMINISTATION,2014-04-04,2015-06-11,433,2014,4,2,4
INDIA,F-1,WASHINGTON,UNKNOWN,CERTIFIED,MASTER'S,ELECTRICAL AND COMPUTER ENGINEERING,2014-06-09,2015-08-28,445,2014,6,2,0
MALAYSIA,H-1B,IOWA,UNKNOWN,CERTIFIED,BACHELOR'S,BUSINESS ADMINISTRATION WITH CONCENTRATION IN FINANCE,2014-05-16,2015-08-20,461,2014,5,2,4
UNITED STATES OF AMERICA,P-1,NORTH CAROLINA,UNKNOWN,CERTIFIED,ASSOCIATE'S,ADMINISTRATION OF SECURITY,2014-02-21,2015-07-02,496,2014,2,1,4
SOUTH KOREA,NOT IN USA,GEORGIA,UNKNOWN,DENIED,BACHELOR'S,ELECTRICAL ENGINEERING,2014-01-25,2015-06-10,501,2014,1,1,5
PHILIPPINES,H-1B,KANSAS,UNKNOWN,CERTIFIED,BACHELOR'S,EDUCATION,2014-04-09,2015-08-07,485,2014,4,2,2
SOUTH KOREA,F-1,MARYLAND,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2014-04-17,2015-08-18,488,2014,4,2,3
SOUTH KOREA,H-1B,NEW YORK,UNKNOWN,CERTIFIED,BACHELOR'S,ACCOUNTING,2014-04-16,2015-08-05,476,2014,4,2,2
NEW ZEALAND,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,BACHELOR'S,PHYSIOTHERAPY AND HUMAN NUTRITION,2014-05-01,2015-08-14,470,2014,5,2,3
CANADA,H-1B,NEW JERSEY,UNKNOWN,CERTIFIED,MASTER'S,BUSINESS ADMINISTRATION,2014-04-17,2015-07-27,466,2014,4,2,3
JAPAN,H-1B,GEORGIA,UNKNOWN,CERTIFIED,MASTER'S,ARCHITECTURE,2014-03-31,2015-07-24,480,2014,3,1,0
INDIA,H-1B,ILLINOIS,UNKNOWN,CERTIFIED,BACHELOR'S,COMPUTER ENGINEERING,2014-03-21,2015-07-15,481,2014,3,1,4
INDIA,H-1B,MICHIGAN,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER APPLICATIONS,2014-02-11,2015-07-10,514,2014,2,1,1
INDIA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,BACHELOR'S,COMPUTER ENGINEERING,2014-02-05,2015-07-08,518,2014,2,1,2
SOUTH AFRICA,H-1B,ARIZONA,UNKNOWN,CERTIFIED,BACHELOR'S,EDUCATION,2014-02-07,2015-07-08,516,2014,2,1,4
PHILIPPINES,F-1,TEXAS,UNKNOWN,CERTIFIED,BACHELOR'S,ELECTRONICS AND COMMUNICATIONS ENGINEERING,2014-01-14,2015-07-07,539,2014,1,1,1
CHINA,NOT IN USA,GEORGIA,UNKNOWN,DENIED,OTHER,GENERAL EDUCATION,2014-01-25,2015-06-09,500,2014,1,1,5
INDIA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,ELECTRICAL AND ELECTRONIC ENGINEERING,2014-03-18,2015-07-16,485,2014,3,1,1
MEXICO,UNKNOWN,CALIFORNIA,UNKNOWN,DENIED,UNKNOWN,UNKNOWN,2014-02-05,2015-07-10,520,2014,2,1,2
INDIA,H-1B,IOWA,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE,2014-01-28,2015-06-12,500,2014,1,1,1
RUSSIA,NOT IN USA,NEW JERSEY,UNKNOWN,CERTIFIED,MASTER'S,CIVIL ENGINEERING,2014-01-24,2015-07-02,524,2014,1,1,4
INDIA,H-1B,COLORADO,UNKNOWN,CERTIFIED,MASTER'S,ENVIRONMENTAL ENGINEERING,2014-01-27,2015-06-09,498,2014,1,1,0
SOUTH KOREA,UNKNOWN,SOUTH CAROLINA,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2014-01-22,2015-06-26,520,2014,1,1,2
INDIA,H-1B,VIRGINIA,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE,2014-02-14,2015-07-20,521,2014,2,1,4
INDIA,H-1B,MASSACHUSETTS,UNKNOWN,CERTIFIED,MASTER'S,BUSINESS ADMINISTRATION,2014-02-06,2015-07-08,517,2014,2,1,3
INDIA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE AND ENGINEERING,2014-01-30,2015-06-18,504,2014,1,1,3
BOLIVIA,H-1B,GEORGIA,UNKNOWN,CERTIFIED,MASTER'S,INDUSTRIAL ENGINEERING *FOR RELEVANT COURSEWORK SEE K.1.,2014-05-01,2015-08-17,473,2014,5,2,3
PHILIPPINES,H-1B,FLORIDA,UNKNOWN,CERTIFIED,BACHELOR'S,MEDICAL TECHNOLOGY,2014-02-20,2015-08-26,552,2014,2,1,3
MEXICO,L-1,ALABAMA,UNKNOWN,CERTIFIED,BACHELOR'S,SYSTEMS ENGINEERING,2014-02-27,2015-07-08,496,2014,2,1,3
BELARUS,H-1B,TEXAS,UNKNOWN,CERTIFIED,MASTER'S,APPLIED MATHEMATICS,2014-01-29,2015-06-17,504,2014,1,1,2
INDIA,H-1B,VIRGINIA,UNKNOWN,CERTIFIED,BACHELOR'S,MECHANICAL ENGINEERING,2014-02-27,2015-07-10,498,2014,2,1,3
NEPAL,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,BACHELOR'S,ELECTRICAL AND COMPUTER ENGINEERING,2014-01-30,2015-06-23,509,2014,1,1,3
INDIA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE,2014-01-24,2015-06-10,502,2014,1,1,4
INDIA,UNKNOWN,TEXAS,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2014-01-23,2015-07-01,524,2014,1,1,3
INDIA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE & ENGINEERING,2013-10-18,2015-06-19,609,2013,10,4,4
NEPAL,F-1,WASHINGTON,UNKNOWN,CERTIFIED,MASTER'S,BUSINESS ADMINISTRATION,2014-01-31,2015-06-15,500,2014,1,1,4
INDIA,UNKNOWN,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE,2014-02-27,2015-07-02,490,2014,2,1,3
INDIA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE AND ENGINEERING,2014-03-14,2015-07-17,490,2014,3,1,4
SOUTH KOREA,UNKNOWN,OHIO,UNKNOWN,DENIED,BACHELOR'S,ARCHITECTURAL ENGINEERING,2014-01-27,2015-06-25,514,2014,1,1,0
FRANCE,H-1B,NORTH CAROLINA,UNKNOWN,CERTIFIED,DOCTORATE,FRENCH STUDIES,2014-02-10,2015-07-02,507,2014,2,1,0
CHINA,H-1B,IOWA,UNKNOWN,CERTIFIED,DOCTORATE,COMPUTER SCIENCE,2014-01-24,2015-06-18,510,2014,1,1,4
SOUTH KOREA,UNKNOWN,OHIO,UNKNOWN,DENIED,BACHELOR'S,MECHANICAL ENGINEERING,2014-01-27,2015-06-26,515,2014,1,1,0
SOUTH KOREA,B-2,TEXAS,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2014-06-05,2015-09-11,463,2014,6,2,3
ROMANIA,H-1B,ILLINOIS,UNKNOWN,CERTIFIED,MASTER'S,INTERNET DATABASES AND E-COMMERCE,2014-02-13,2015-07-07,509,2014,2,1,3
INDIA,H-1B,NEW JERSEY,UNKNOWN,CERTIFIED,MASTER'S,SOFTWARE ENGINEERING,2014-02-20,2015-07-10,505,2014,2,1,3
SOUTH KOREA,NOT IN USA,NORTH CAROLINA,UNKNOWN,DENIED,UNKNOWN,UNKNOWN,2014-02-05,2015-06-25,505,2014,2,1,2
INDIA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,ELECTRICAL ENGINEERING,2014-01-31,2015-06-12,497,2014,1,1,4
SOUTH KOREA,F-1,NEW YORK,UNKNOWN,CERTIFIED,MASTER'S,CHILDHOOD EDUCATION,2014-03-07,2015-07-20,500,2014,3,1,4
INDIA,H-1B,WASHINGTON,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE,2014-01-29,2015-06-24,511,2014,1,1,2
INDIA,H-1B,MARYLAND,UNKNOWN,CERTIFIED,MASTER'S,CIVIL ENGINEERING,2014-01-31,2015-06-15,500,2014,1,1,4
INDIA,H-1B,TEXAS,UNKNOWN,CERTIFIED,MASTER'S,INFORMATION SYSTEMS,2014-02-12,2015-07-08,511,2014,2,1,2
SOUTH KOREA,E-2,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,ART,2014-02-07,2015-07-10,518,2014,2,1,4
ISRAEL,H-1B,CALIFORNIA,UNKNOWN,DENIED,BACHELOR'S,CHEMICAL ENGINEERING,2014-02-11,2015-01-23,346,2014,2,1,1
UNITED KINGDOM,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER INFORMATION SYSTEMS AND LINGUISTICS,2014-01-31,2015-06-17,502,2014,1,1,4
SOUTH KOREA,NOT IN USA,CALIFORNIA,UNKNOWN,CERTIFIED,BACHELOR'S,BUSINESS ADMINISTRATION,2014-01-23,2015-07-10,533,2014,1,1,3
INDIA,H-1B,NEW JERSEY,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE,2014-01-23,2015-07-02,525,2014,1,1,3
INDIA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,BACHELOR'S,COMPUTER SCIENCE,2014-01-28,2015-06-30,518,2014,1,1,1
INDIA,H-1B,TEXAS,UNKNOWN,CERTIFIED,MASTER'S,ENGINEERING MANAGEMENT,2014-02-12,2015-07-09,512,2014,2,1,2
INDIA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,COMPUTING STUDIES,2014-03-06,2015-07-23,504,2014,3,1,3
FRANCE,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,INDUSTRIAL DESIGN AND MANAGEMENT,2014-01-29,2015-06-09,496,2014,1,1,2
SRI LANKA,A1/A2,MARYLAND,UNKNOWN,CERTIFIED,HIGH SCHOOL,HIGH SCHOOL,2014-03-14,2015-07-23,496,2014,3,1,4
SOUTH KOREA,H-1B,PENNSYLVANIA,UNKNOWN,CERTIFIED,BACHELOR'S,INTERNATIONAL STUDIES / BUSINESS,2014-01-22,2015-07-23,547,2014,1,1,2
NEPAL,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE,2014-02-20,2015-06-26,491,2014,2,1,3
INDIA,L-1,ILLINOIS,UNKNOWN,CERTIFIED,BACHELOR'S,COMPUTER ENGINEERING,2014-02-24,2015-07-08,499,2014,2,1,0
INDIA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,BUSINESS ADMINISTRATION,2014-02-11,2015-07-16,520,2014,2,1,1
BRAZIL,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,VETERINARY MEDICINE,2014-01-28,2015-06-24,512,2014,1,1,1
INDIA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,BACHELOR'S,ENGINEERING,2014-02-17,2015-07-09,507,2014,2,1,0
INDIA,L-1,NEW JERSEY,UNKNOWN,CERTIFIED,OTHER,FINANCE,2014-03-14,2015-07-16,489,2014,3,1,4
SOUTH KOREA,NOT IN USA,TEXAS,UNKNOWN,CERTIFIED,HIGH SCHOOL,GENERAL,2014-02-06,2015-06-26,505,2014,2,1,3
INDIA,H-1B,ILLINOIS,UNKNOWN,CERTIFIED,BACHELOR'S,INFORMATION TECHNOLOGY,2014-02-26,2015-06-25,484,2014,2,1,2
SPAIN,H-1B,MASSACHUSETTS,UNKNOWN,CERTIFIED,MASTER'S,BUSINESS ADMINISTRATION,2014-02-13,2015-07-10,512,2014,2,1,3
SOUTH KOREA,H-1B,OHIO,UNKNOWN,CERTIFIED,BACHELOR'S,ELECTRICAL ENGINEERING,2014-02-03,2015-07-10,522,2014,2,1,0
INDIA,H-1B,TEXAS,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE,2014-01-28,2015-06-15,503,2014,1,1,1
CHINA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,COMPUTING SCIENCE,2014-02-04,2015-08-11,553,2014,2,1,1
NEPAL,H-1B,VIRGINIA,UNKNOWN,CERTIFIED,BACHELOR'S,ENVIRONMENTAL HEALTH,2014-02-06,2015-08-03,543,2014,2,1,3
INDIA,H-1B,CALIFORNIA,UNKNOWN,DENIED,MASTER'S,ELECTRICAL AND COMPUTER ENGINEERING,2014-01-28,2014-10-02,247,2014,1,1,1
INDIA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,BACHELOR'S,COMPUTER SCIENCE,2014-02-18,2015-07-09,506,2014,2,1,1
INDIA,H-1B,ILLINOIS,UNKNOWN,CERTIFIED,MASTER'S,BUSINESS ADMINISTRATION,2014-05-29,2015-08-13,441,2014,5,2,3
SOUTH KOREA,F-2,FLORIDA,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2014-02-07,2015-07-07,515,2014,2,1,4
SOUTH KOREA,E-2,ALABAMA,UNKNOWN,CERTIFIED,ASSOCIATE'S,FOOD AND NUTRITION,2014-01-09,2015-06-29,536,2014,1,1,3
INDIA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER ENGINEERING- CISE,2014-02-26,2015-06-26,485,2014,2,1,2
INDIA,H-1B,ILLINOIS,UNKNOWN,CERTIFIED,MASTER'S,SOFTWARE ENGINEERING,2014-02-06,2015-06-24,503,2014,2,1,3
PHILIPPINES,H-1B,ARIZONA,UNKNOWN,CERTIFIED,BACHELOR'S,EDUCATION,2014-02-07,2015-07-08,516,2014,2,1,4
SOUTH KOREA,UNKNOWN,TEXAS,UNKNOWN,CERTIFIED,MASTER'S,TAXATION,2014-02-03,2015-06-30,512,2014,2,1,0
INDIA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE,2014-01-22,2015-07-13,537,2014,1,1,2
INDIA,H-1B,INDIANA,UNKNOWN,CERTIFIED,BACHELOR'S,BUSINESS ADMINISTRATION,2014-03-27,2015-08-04,495,2014,3,1,3
POLAND,H-1B,CONNECTICUT,UNKNOWN,DENIED,BACHELOR'S,CIVIL ENGINEERING,2014-02-07,2015-07-09,517,2014,2,1,4
FRANCE,H-1B,NEW JERSEY,UNKNOWN,CERTIFIED,MASTER'S,BUSINESS ADMINISTRATION,2014-02-14,2015-07-28,529,2014,2,1,4
VIETNAM,H-1B,RHODE ISLAND,UNKNOWN,CERTIFIED,DOCTORATE,PHARMACY,2014-04-18,2015-07-27,465,2014,4,2,4
HONDURAS,TPS,NEW JERSEY,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2014-02-07,2015-07-08,516,2014,2,1,4
BOSNIA AND HERZEGOVINA,H-1B,TEXAS,UNKNOWN,CERTIFIED,BACHELOR'S,COMPUTER SCIENCE AND INFORMATION TECHNOLOGY,2014-02-07,2015-07-10,518,2014,2,1,4
SPAIN,H-1B,TEXAS,UNKNOWN,CERTIFIED,BACHELOR'S,BIOLOGY,2014-01-27,2015-07-14,533,2014,1,1,0
SOUTH KOREA,F-1,CALIFORNIA,UNKNOWN,DENIED,UNKNOWN,UNKNOWN,2014-02-13,2015-07-07,509,2014,2,1,3
IRAN,UNKNOWN,CALIFORNIA,UNKNOWN,CERTIFIED,HIGH SCHOOL,NATURAL SCIENCE,2014-01-28,2015-06-16,504,2014,1,1,1
INDIA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,BACHELOR'S,COMPUTER SCIENCE,2014-02-25,2015-06-25,485,2014,2,1,1
INDIA,H-1B,OHIO,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE,2013-10-17,2015-06-23,614,2013,10,4,3
INDIA,H-1B,TEXAS,UNKNOWN,CERTIFIED,MASTER'S,ELECTRICAL ENGINEERING,2014-02-24,2015-07-14,505,2014,2,1,0
CHINA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,ELECTRICAL AND COMPUTER ENGINEERING,2014-03-06,2015-07-17,498,2014,3,1,3
INDIA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,BACHELOR'S,ACCOUNTING,2014-02-11,2015-07-16,520,2014,2,1,1
INDIA,H-1B,NEW JERSEY,UNKNOWN,CERTIFIED,MASTER'S,SCIENCE (FINANCIAL ENGINEERING),2014-02-06,2015-07-06,515,2014,2,1,3
INDIA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE,2014-02-05,2015-08-03,544,2014,2,1,2
INDIA,H-1B,ILLINOIS,UNKNOWN,CERTIFIED,BACHELOR'S,COMPUTER SCIENCE,2014-01-27,2015-07-20,539,2014,1,1,0
CHINA,UNKNOWN,FLORIDA,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2014-01-27,2015-07-01,520,2014,1,1,0
ARGENTINA,L-1,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,MARKETING,2014-01-31,2015-06-17,502,2014,1,1,4
INDIA,H-1B,NEW YORK,UNKNOWN,DENIED,MASTER'S,EXERCISE SCIENCE,2014-03-11,2015-07-27,503,2014,3,1,1
JAPAN,UNKNOWN,CALIFORNIA,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2014-01-27,2015-07-02,521,2014,1,1,0
CHINA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,BACHELOR'S,ELECTRICAL ENGINEERING,2014-02-03,2015-06-29,511,2014,2,1,0
INDIA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE,2013-10-18,2015-06-18,608,2013,10,4,4
BRAZIL,H-1B,NEW YORK,UNKNOWN,CERTIFIED,MASTER'S,BUSINESS ADMINISTRATION EQUIVALENT,2014-03-06,2015-07-29,510,2014,3,1,3
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,MASTER'S,CHEMICAL ENGINEERING,2014-01-24,2015-06-24,516,2014,1,1,4
