country_of_citizenship,class_of_admission,employer_state,us_economic_sector,case_status,foreign_worker_info_education,foreign_worker_info_major,case_received_date,decision_date,processing_days,application_year,application_month,application_quarter,application_dayofweek
INDIA,H-1B,WASHINGTON,UNKNOWN,CERTIFIED,MASTER'S,ARTIFICIAL INTELLIGENCE (COMPUTER SCIENCE RELATED),2013-12-23,2015-06-08,532,2013,12,4,0
RUSSIA,F-1,WASHINGTON,UNKNOWN,DENIED,DOCTORATE,ACCOUNTING,2014-12-19,2015-06-19,182,2014,12,4,4
INDIA,PAROLEE,MARYLAND,UNKNOWN,CERTIFIED,MASTER'S,BUSINESS ADMINISTRATION,2014-01-17,2015-06-09,508,2014,1,1,4
INDIA,H-1B,INDIANA,UNKNOWN,CERTIFIED,MASTER'S,MECHANICAL ENGINEERING,2013-11-13,2015-07-01,595,2013,11,4,2
INDIA,H-1B,TEXAS,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER APPLICATIONS,2014-03-14,2015-07-17,490,2014,3,1,4
INDIA,H-1B,FLORIDA,UNKNOWN,CERTIFIED,BACHELOR'S,COMPUTER SCIENCE,2013-12-02,2015-06-05,550,2013,12,4,0
PERU,J-1,NEW YORK,UNKNOWN,DENIED,UNKNOWN,NONE,2013-10-30,2015-05-18,565,2013,10,4,2
INDIA,H-1B,FLORIDA,UNKNOWN,CERTIFIED,BACHELOR'S,ELECTRONIC ENGINEERING AND COMPUTER ENGINEERING,2014-01-08,2015-07-20,558,2014,1,1,2
SOUTH AFRICA,L-1,CALIFORNIA,UNKNOWN,CERTIFIED,BACHELOR'S,COMPUTER SCIENCE AND MATHEMATICS,2013-11-12,2015-05-15,549,2013,11,4,1
INDIA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,BACHELOR'S,COMPUTER SCIENCE,2013-12-18,2015-05-28,526,2013,12,4,2
INDIA,H-1B,INDIANA,UNKNOWN,CERTIFIED,BACHELOR'S,COMPUTER SCIENCE ENGINEERING,2013-11-22,2015-05-14,538,2013,11,4,4
CHINA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,BACHELOR'S,COMPUTER ENGINEERING,2013-12-20,2015-06-12,539,2013,12,4,4
SOUTH KOREA,UNKNOWN,MISSISSIPPI,UNKNOWN,DENIED,UNKNOWN,UNKNOWN,2013-11-11,2015-06-26,592,2013,11,4,0
